source_code,sku,status,quantity
601,9788497945356,1,8
601,9788497945363,1,11
601,9788497945370,1,5
601,9788497945387,1,4
601,9788497966986,1,2
601,9788498011081,1,1
601,9788498012774,1,2
601,9788498013757,1,2
601,9788498013924,1,1
601,9788498014167,1,1
601,9788498014860,1,1
601,9788498014884,1,1
601,9788498015096,1,2
601,9788498015560,1,1
601,9788498016291,1,1
601,9788498016420,1,1
601,9788498016703,1,1
601,9788498016857,1,1
601,9788498017021,1,1
601,9788498017199,1,1
601,9788498017229,1,1
601,9788498017328,1,1
601,9788498017366,1,1
601,9788498017403,1,2
601,9788498017571,1,1
601,9788498017588,1,1
601,9788498017717,1,1
601,9788498017854,1,1
601,9788498017885,1,1
601,9788498017946,1,1
601,9788498018066,1,2
601,9788498018073,1,1
601,9788498018165,1,2
601,9788498018189,1,2
601,9788498018196,1,1
601,9788498018226,1,2
601,9788498018349,1,3
601,9788498018417,1,1
601,9788498018608,1,2
601,9788498018639,1,1
601,9788498018790,1,1
601,9788498018868,1,2
601,9788498018929,1,1
601,9788498018974,1,2
601,9788498019070,1,1
601,9788498019094,1,2
601,9788498019179,1,1
601,9788498019353,1,1
601,9788498019377,1,2
601,9788498019384,1,1
601,9788498019476,1,1
601,9788498019537,1,1
601,9788498019599,1,1
601,9788498019612,1,1
601,9788498019629,1,3
601,9788498019636,1,1
601,9788498019667,1,1
601,9788498019674,1,1
601,9788498019698,1,1
601,9788498019766,1,2
601,9788498019827,1,2
601,9788498019964,1,1
601,9788498019971,1,1
601,9788498063523,1,3
601,9788498063547,1,4
601,9788498068825,1,2
601,9788498143928,1,2
601,9788498145625,1,2
601,9788498147025,1,1
601,9788498148787,1,3
601,9788498250152,1,1
601,9788498250169,1,4
601,9788498253351,1,1
601,9788498254365,1,1
601,9788498254990,1,4
601,9788498257731,1,1
601,9788498257779,1,4
601,9788498257885,1,2
601,9788498258530,1,1
601,9788498258547,1,2
601,9788498258738,1,5
601,9788498259124,1,1
601,9788498259247,1,5
601,9788498259469,1,1
601,9788498259988,1,8
601,9788498380705,1,8
601,9788498381474,1,4
601,9788498382143,1,7
601,9788498382549,1,3
601,9788498382570,1,6
601,9788498383003,1,6
601,9788498383454,1,5
601,9788498383584,1,4
601,9788498383706,1,4
601,9788498383713,1,7
601,9788498383973,1,5
601,9788498383997,1,7
601,9788498384161,1,10
601,9788498384215,1,4
601,9788498384239,1,5
601,9788498384260,1,3
601,9788498384284,1,10
601,9788498384291,1,3
601,9788498384352,1,7
601,9788498384642,1,4
601,9788498384741,1,6
601,9788498384796,1,5
601,9788498384871,1,6
601,9788498384888,1,4
601,9788498384994,1,8
601,9788498385045,1,6
601,9788498385076,1,9
601,9788498385151,1,8
601,9788498385243,1,5
601,9788498385441,1,11
601,9788498385458,1,1
601,9788498385502,1,5
601,9788498385632,1,5
