source_code,sku,status,quantity
601,9786123195885,1,3
601,9786123195953,1,7
601,9786123196011,1,21
601,9786123196035,1,4
601,9786123196042,1,37
601,9786123196059,1,4
601,9786123196097,1,17
601,9786123196127,1,5
601,9786123196134,1,6
601,9786123196158,1,19
601,9786123196172,1,14
601,9786123196196,1,5
601,9786123196202,1,10
601,9786123196226,1,8
601,9786123196233,1,16
601,9786123196257,1,38
601,9786123196288,1,8
601,9786123196295,1,15
601,9786123196332,1,15
601,9786123196370,1,5
601,9786123196387,1,7
601,9786123196431,1,8
601,9786123196462,1,11
601,9786123196509,1,4
601,9786123196516,1,6
601,9786123196530,1,4
601,9786123196578,1,8
601,9786123196592,1,22
601,9786123196608,1,4
601,9786123196646,1,31
601,9786123196653,1,8
601,9786123196691,1,4
601,9786123196714,1,22
601,9786123196738,1,10
601,9786123196783,1,4
601,9786123196806,1,6
601,9786123196813,1,24
601,9786123196820,1,27
601,9786123196837,1,10
601,9786123196905,1,4
601,9786123196912,1,10
601,9786123196929,1,81
601,9786123196981,1,50
601,9786123196998,1,40
601,9786123197001,1,30
601,9786123197018,1,38
601,9786123197032,1,8
601,9786123197049,1,33
601,9786123197056,1,8
601,9786123197100,1,8
601,9786123197117,1,5
601,9786123197148,1,15
601,9786123197155,1,9
601,9786123197179,1,17
601,9786123197223,1,23
601,9786123197254,1,31
601,9786123197278,1,9
601,9786123197285,1,12
601,9786123197308,1,29
601,9786123197339,1,42
601,9786123197346,1,12
601,9786123197353,1,8
601,9786123197391,1,22
601,9786123197421,1,11
601,9786123197438,1,18
601,9786123197445,1,26
601,9786123197452,1,40
601,9786123197483,1,10
601,9786123197520,1,27
601,9786123197537,1,28
601,9786123197544,1,15
601,9786123197551,1,51
601,9786123197568,1,17
601,9786123197582,1,19
601,9786123197599,1,22
601,9786123197605,1,20
601,9786123197612,1,22
601,9786123197667,1,28
601,9786123197698,1,13
601,9786123197704,1,21
601,9786123197711,1,10
601,9786123197735,1,8
601,9786123197742,1,28
601,9786123197759,1,27
601,9786123197797,1,21
601,9786123197810,1,12
601,9786123197827,1,21
601,9786123197834,1,18
601,9786123197841,1,9
601,9786123197865,1,12
601,9786123197872,1,15
601,9786123197889,1,38
601,9786123197896,1,10
601,9786123197902,1,12
601,9786123197940,1,14
601,9786123197957,1,19
601,9786123197995,1,25
601,9786123211172,1,1
601,9786123260071,1,1
601,9786123260392,1,1
601,9786123260415,1,4
601,9786123260613,1,2
601,9786123260842,1,30
601,9786123261269,1,10
601,9786123261276,1,1
601,9786123261504,1,12
601,9786123261535,1,20
601,9786123261580,1,12
601,9786123261597,1,1
601,9786123261627,1,20
601,9786123261665,1,8
601,9786123261689,1,8
601,9786123261733,1,5
601,9786123261740,1,1
601,9786123261764,1,10
601,9786123261825,1,14
601,9786123261849,1,5
601,9786123261856,1,9
601,9786123261900,1,10
601,9786123261924,1,10
601,9786123310035,1,2
601,9786123310059,1,6
601,9786123310073,1,2
601,9786123310097,1,6
601,9786123310127,1,2
601,9786123310141,1,5
601,9786123310158,1,6
601,9786123310172,1,1
601,9786124000331,1,11
601,9786124011627,1,4
601,9786124017032,1,6
601,9786124017124,1,2
601,9786124017155,1,3
601,9786124017193,1,2
601,978-612-4017-21-6,1,6
601,9786124017254,1,3
601,9786124017285,1,4
601,9786124017339,1,1
601,9786124017353,1,2
601,9786124017377,1,2
601,9786124017384,1,3
601,9786124017391,1,10
601,9786124017407,1,4
601,9786124017411,1,2
601,9786124017452,1,3
601,9786124017506,1,4
601,9786124021114,1,1
601,9786124021305,1,2
601,9786124026751,1,2
601,9786124026768,1,2
601,9786124026799,1,2
601,9786124029145,1,1
601,9786124031229,1,1
601,9786124039379,1,3
601,9786124039485,1,6
601,9786124039621,1,5
601,9786124039751,1,3
601,9786124050749,1,2
601,9786124051081,1,1
601,9786124059384,1,1
601,9786124059513,1,1
601,9786124070051,1,5
601,9786124070723,1,1
601,9786124076626,1,3
601,9786124088223,1,2
601,9786124088513,1,1
601,9786124088544,1,1
601,9786124088919,1,1
601,9786124088957,1,3
601,9786124088971,1,3
601,9786124091216,1,2
601,9786124091674,1,1
601,9786124091780,1,1
601,9786124091889,1,1
601,9786124091902,1,2
601,9786124091964,1,1
601,9786124091971,1,2
601,9786124092053,1,3
601,9786124110269,1,1
601,9786124110672,1,10
601,9786124110931,1,4
601,9786124113673,1,3
601,9786124116018,1,2
601,9786124116070,1,1
601,9786124116094,1,1
601,9786124116407,1,1
601,9786124119477,1,1
601,9786124119828,1,1
601,9786124119897,1,1
601,9786124121418,1,2
601,9786124122774,1,3
601,9786124129902,1,1
601,9786124146060,1,2
601,9786124146398,1,1
601,9786124146596,1,1
601,9786124149061,1,1
601,9786124151507,1,9
601,9786124151545,1,1
601,9786124155017,1,1
601,9786124155024,1,1
601,9786124155031,1,2
601,9786124155048,1,2
601,9786124155079,1,1
601,9786124155086,1,1
601,9786124155109,1,1
601,9786124155130,1,1
601,9786124155321,1,1
601,9786124155529,1,1
601,9786124158292,1,1
601,9786124159350,1,1
601,9786124164118,1,1
601,9786124164231,1,1
601,9786124164248,1,1
601,9786124164293,1,2
601,9786124164729,1,6
601,9786124164736,1,3
601,9786124164743,1,1
601,9786124164774,1,1
601,9786124164828,1,4
601,9786124164859,1,7
601,9786124164866,1,10
601,9786124164873,1,2
601,9786124164880,1,1
601,9786124164897,1,1
601,9786124164903,1,3
601,9786124164934,1,3
601,9786124164941,1,1
601,9786124165535,1,2
601,9786124170027,1,2
601,9786124170126,1,1
601,9786124170232,1,1
601,9786124170249,1,2
601,9786124170478,1,1
601,9786124170508,1,2
601,9786124170584,1,2
601,9786124170591,1,1
601,9786124170737,1,1
601,9786124170805,1,3
601,9786124170911,1,1
601,9786124170928,1,1
601,9786124170980,1,1
601,9786124181160,1,3
601,9786124181207,1,1
601,9786124181214,1,6
601,9786124181238,1,2
601,9786124181245,1,9
601,9786124181252,1,3
601,9786124181269,1,7
601,9786124181290,1,5
601,9786124181337,1,6
601,9786124181351,1,2
601,9786124181375,1,33
601,9786124181382,1,4
601,9786124181399,1,3
601,9786124181405,1,12
601,9786124181412,1,12
601,9786124181429,1,13
601,9786124181443,1,7
601,9786124181450,1,5
601,9786124181474,1,6
601,9786124181481,1,2
601,9786124181498,1,4
601,9786124181504,1,13
601,9786124181511,1,1
601,9786124181580,1,6
601,9786124181597,1,1
601,9786124181627,1,4
601,9786124181634,1,20
601,9786124181665,1,1
601,9786124181689,1,5
601,9786124181702,1,11
601,9786124181726,1,42
601,9786124181733,1,23
601,9786124181740,1,10
601,9786124181764,1,10
601,9786124181801,1,5
601,9786124181863,1,3
601,9786124181870,1,4
601,9786124181900,1,14
601,9786124181948,1,14
601,9786124181955,1,7
601,9786124181962,1,7
601,9786124181979,1,14
601,9786124186127,1,6
601,9786124191305,1,1
601,9786124201004,1,2
601,9786124201011,1,1
601,9786124201127,1,1
601,9786124201158,1,3
