source_code,sku,status,quantity
601,0-14-118461-2,1.00,1
601,0-333-67493-6,1.00,1
601,0-333-77214-8,1.00,1
601,0-333-77215-6,1.00,1
601,0-439-92277-1,1.00,1
601,0-7460-6646-5,1.00,2
601,0-7475-8935-8,1.00,1
601,0-7869-1989-2,1.00,1
601,0-86411-383-8,1.00,1
601,0-86411-706-X,1.00,1
601,0-88113-558-5,1.00,2
601,0-88113-564-X,1.00,1
601,0-88113-737-5,1.00,2
601,0-8811-3809-6,1.00,2
601,0-89922-023-1,1.00,3
601,0-9710148-0-9,1.00,2
601,0-9710148-2-5,1.00,1
601,0-9710148-3-1,1.00,1
601,0-9710148-3-3,1.00,1
601,0-9710148-4-1,1.00,2
601,0-9710148-6-8,1.00,1
601,0-9710148-8-4,1.00,2
601,1-405-00959-4,1.00,2
601,1-405-07236-9,1.00,1
601,1-4050-7684-5,1.00,1
601,1-4054-9203-4,1.00,2
601,1-4075-1682-1,1.00,1
601,1-4075-7217-8,1.00,3
601,1-4127-0166-X,1.00,2
601,1-4127-3516-5,1.00,3
601,1-4127-6126-3,1.00,1
601,1-6070381-08-7,1.00,4
601,1-891079-66-2,1.00,1
601,2009-03082,1.00,5
601,2017000726,1.00,5
601,2017000727,1.00,3
601,2017000729,1.00,3
601,2019001035,1.00,6
601,2019001036,1.00,1
601,2020000637,1.00,4
601,2020000638,1.00,4
601,2021000841,1.00,10
601,3-8228-5807-2,1.00,3
601,3-8228-5808-0,1.00,22
601,3-8228-5811-0,1.00,14
601,3-8228-5818-8,1.00,22
601,3-8228-6191-X,1.00,13
601,3-8228-6551-6,1.00,2
601,3-8331-3756-3,1.00,2
601,603-4016-07-1,1.00,1
601,603-4017-19-1,1.00,2
601,603-45008-0-8,1.00,1
601,603-45024-6-8,1.00,1
601,7751035006644_1,1.00,13
601,7751035006644_2,1.00,24
601,7751035006651_1,1.00,9
601,7751035006651_2,1.00,5
601,7751035006651_3,1.00,8
601,7751035006668_1,1.00,4
601,7751035006668_3,1.00,5
601,7751035006675_2,1.00,6
601,7751035006675_3,1.00,8
601,7751035006712_2,1.00,2
601,7751035006736_1,1.00,10
601,7751035006736_2,1.00,7
601,8415832478,1.00,3
601,84-204-4296-8,1.00,7
601,84-206-3601-0,1.00,2
601,84-206-3633-9,1.00,1
601,84-206-3636-3,1.00,2
601,84-206-3665-7,1.00,3
601,84-206-3669-X,1.00,2
601,84-206-3717-3,1.00,1
601,84-206-3718-1,1.00,1
601,84-206-3726-2,1.00,2
601,84-206-3889-7,1.00,2
601,84-206-5553-8,1.00,1
601,84-206-5599-6,1.00,1
601,84-206-5627-5,1.00,1
601,84-206-5779-4,1.00,1
601,84-206-5819-7,1.00,2
601,84-206-5862-6,1.00,1
601,84-206-5923-1,1.00,1
601,84-206-5971-X,1.00,1
601,84-206-5983-5,1.00,1
601,84-206-6863-X,1.00,2
