source_code,sku,status,quantity
209,9786124262234,1,3
209,9786124262241,1,9
209,9786124262746,1,2
209,9786124262791,1,2
209,9786124262951,1,1
209,9786124264849,1,6
209,9786124264931,1,1
209,9786124264993,1,1
209,9786124266256,1,5
209,9786124266461,1,4
209,9786124266577,1,1
209,9786124266713,1,10
209,9786124266744,1,1
209,9786124266874,1,1
209,9786124266911,1,134
209,9786124267185,1,1
209,9786124268106,1,1
209,9786124268151,1,2
209,9786124269158,1,4
209,9786124269219,1,2
209,9786124269240,1,3
209,9786124269264,1,6
209,9786124269301,1,6
209,9786124269318,1,3
209,9786124270130,1,1
209,9786124270406,1,7
209,9786124270437,1,4
209,9786124271595,1,1
209,9786124271601,1,2
209,9786124271670,1,3
209,9786124272448,1,2
209,9786124272479,1,1
209,9786124272844,1,2
209,9786124272875,1,1
209,9786124272974,1,3
209,9786124275081,1,2
209,9786124275265,1,3
209,9786124284175,1,3
209,9786124284229,1,32
209,9786124290381,1,1
209,9786124290466,1,7
209,9786124290640,1,9
209,9786124290688,1,1
209,9786124290718,1,14
209,9786124290794,1,20
209,9786124290800,1,2
209,9786124290817,1,1
209,9786124290855,1,8
209,9786124290879,1,7
209,9786124305085,1,3
209,9786124305719,1,10
209,9786124305771,1,10
209,9786124305801,1,6
209,9786124326028,1,1
209,9786124326059,1,1
209,9786124327230,1,2
209,9786124327247,1,1
209,9786124327339,1,15
209,9786124327391,1,6
209,9786124327421,1,4
209,9786124336010,1,2
209,9786124346033,1,6
209,9786124346040,1,5
209,9786124346170,1,2
209,9786124346231,1,1
209,9786124346491,1,5
209,9786124346644,1,4
209,9786124346699,1,1
209,9786124346705,1,18
209,9786124346798,1,4
209,9786124346866,1,3
209,9786124346965,1,5
209,9786124346996,1,1
209,9786124349164,1,7
209,9786124349218,1,6
209,9786124349225,1,3
209,9786124349669,1,1
209,9786124350351,1,2
209,9786124350375,1,3
209,9786124350382,1,5
209,9786124350412,1,3
209,9786124350436,1,1
209,9786124350467,1,1
209,9786124360541,1,1
209,9786124379482,1,3
209,9786124379550,1,2
209,9786124379611,1,1
209,9786124379628,1,2
209,9786124379659,1,4
209,9786124379680,1,1
209,9786124381010,1,2
209,9786124404085,1,2
209,9786124404153,1,1
209,9786124404214,1,2
209,9786124404238,1,3
209,9786124404245,1,24
209,9786124404269,1,1
209,9786124404337,1,5
209,9786124404351,1,2
209,9786124404382,1,2
209,9786124404405,1,5
209,9786124406188,1,3
209,9786124414015,1,1
209,9786124414039,1,2
209,9786124414077,1,4
209,9786124414107,1,1
209,9786124414138,1,6
209,9786124414176,1,4
209,9786124414190,1,12
209,9786124414213,1,15
209,9786124414237,1,13
209,9786124414244,1,12
209,9786124414251,1,11
209,9786124424939,1,2
209,9786124426087,1,1
209,9786124426360,1,5
209,9786124431012,1,6
209,9786124431067,1,1
209,9786124431371,1,4
209,9786124442001,1,1
209,9786124442100,1,7
209,9786124442186,1,6
209,9786124442209,1,4
209,9786124442223,1,2
209,9786124442254,1,1
209,9786124442261,1,4
209,9786124442278,1,5
209,9786124442315,1,1
209,9786124442339,1,1
209,9786124442346,1,6
209,9786124442391,1,4
